customer_id,customer_name,contact_email,credit_limit
603,Edwards Inc,kbriggs@example.org,69965.25
205,"Fisher, Brooks and Williams",cparker@example.org,92761.92
756,Harding-Holland,brian70@example.com,65343.42
495,Field-Hartley,charlesahmed@example.com,94468.56
178,Baldwin PLC,leelewis@example.net,38738.37
932,White-Ross,mhamilton@example.net,47910.00
10,Spencer-Williams,clivehill@example.com,36530.27
127,Kelly-Burrows,yporter@example.org,50660.76
582,Morris-Warren,evansjenna@example.com,97972.48
940,Kent PLC,murphysamuel@example.org,57567.50
130,Bartlett Ltd,gbarber@example.org,60840.56
802,"Smith, Gill and Thompson",tony33@example.org,13855.11
904,Jones LLC,jhancock@example.org,23042.21
546,Rogers-Saunders,colealan@example.com,39085.08
278,Davies Group,yhamilton@example.net,30780.75
713,Jackson-Freeman,julianmoss@example.org,25574.61
922,"Myers, Robinson and Nicholson",pearsonhelen@example.net,60537.63
334,Harding-Barton,alexross@example.com,67978.42
651,Bennett-Robinson,sara57@example.org,38957.68
355,Leonard PLC,fhale@example.com,83374.00
22,Cooper-Coleman,marioncole@example.org,56831.27
821,"Davies, Holmes and Webster",kelly16@example.net,52196.30
618,"Hill, Carroll and Jenkins",parrydiana@example.com,52570.40
852,Hartley Group,lynn70@example.org,65597.27
725,Smith Ltd,oliver28@example.com,80237.34
403,Godfrey PLC,zoe30@example.org,20622.97
310,Mason PLC,watkinselliott@example.org,85368.45
653,Armstrong PLC,slewis@example.com,98635.94
561,"Norris, Kelly and Ali",wilsontom@example.net,95385.22
364,James Group,kirstybrown@example.org,73493.90
441,Jenkins-Adams,samanthaevans@example.com,93230.47
400,Banks-King,allanwallis@example.org,28828.04
665,Howard Inc,paulahmed@example.org,44258.04
934,Morgan and Sons,leanne52@example.com,45658.85
795,Baker-Bell,newmanhayley@example.com,72644.39
